run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
20,0.5987449439336103,0.5807531566299509,64,2,1.0,0.0009810536326583575,0.0002572612952621297,0.19266093848718374,16,197
21,0.5732729653698971,0.5508626339157996,128,4,1.0,0.005872305454627066,0.0008387900784585962,0.17222658418117276,16,133
22,0.5659880039061371,0.5417320998218719,64,3,1.0,0.007983245829445785,0.00011965793171708236,0.22236378519822841,32,299
23,0.6204979013921459,0.6065926717900448,128,3,1.5,0.0021199660410637657,0.0006484723997330301,0.2735450148308234,32,236
24,0.3627239357782297,0.3154684710478366,64,4,1.5,0.0008067665150475879,0.0007667595032574075,0.29241999764534715,32,292
25,0.6172210419473375,0.6049030667350763,256,4,2.0,0.0031400996595768024,0.000542921813813079,0.24478478046764016,32,173
26,0.6410038745932904,0.6245848651362071,256,2,1.5,0.0008480958232577796,0.000534586386001288,0.29457302910368344,32,263
27,0.6879688203089156,0.6726992749574501,128,2,1.0,0.00043961603137845695,1.3700678313398271e-05,0.1930270249166129,16,188
28,0.5759305412125741,0.5237191889569321,256,3,1.5,0.0017064135542021448,0.0006532240983106152,0.22243956623505845,16,155
29,0.6462553280894422,0.6291765351011306,256,3,1.0,0.0027386350484404198,0.00011801445926587643,0.16631547070575614,16,268
30,0.6664515802698932,0.6492794529879282,256,4,1.5,0.0004987111788453475,0.00012550332077233587,0.1448113514581716,16,209
31,0.6748104229670597,0.6551577916950129,128,4,1.0,0.001133166616936758,0.00011505736295181726,0.18760070124823522,16,237
32,0.6014156130886024,0.5837551534541665,64,4,1.5,0.00039252764945265164,0.0002549536324744119,0.154227861570501,16,158
33,0.6510231899127943,0.6365056792469161,256,4,1.0,0.003480585900412624,0.00020971815754536585,0.17871834720276386,32,211
34,0.5745946038937599,0.5577305328027848,256,2,1.0,0.006023240789425489,5.611421485403136e-05,0.16556711629681148,16,179
35,0.6779619814104783,0.6626235816383422,256,3,1.0,0.0005242559685633406,0.00019259053307457965,0.18516715608691733,16,245
36,0.6595772305941678,0.6377506593719746,128,2,1.5,0.0002504986002639083,0.00016974274397642397,0.21005867777703954,16,264
37,0.6350267713930593,0.6138167644533019,256,4,1.5,0.00019137931211971932,6.93138228755089e-05,0.2415760330949577,16,268
38,0.6468861170806646,0.6305238241881875,64,3,2.0,0.005925090660275979,0.00021816232415018013,0.2362881412332721,16,245
39,0.6249272233469922,0.6133782050443173,256,4,1.0,0.0019724736859336564,0.0005512820859707976,0.1317530788674676,16,204
40,0.6044891439576341,0.5803309947246236,64,4,1.5,0.0007460625613310291,0.0006119371731324396,0.13670208599876554,16,159
41,0.6188835441026537,0.6064309801613175,256,2,2.0,0.005313813036275134,0.0003889652447958984,0.12978990968501253,16,290
42,0.6303525133278485,0.617760851632235,128,3,1.5,0.002403363505452134,6.978167881981365e-05,0.17037556519470806,16,228
43,0.6105136488520746,0.5958108055619373,64,2,1.0,0.0015820244483341368,0.00023610996888718345,0.2295139931643677,32,160
44,0.6739509729819795,0.649884347440403,128,2,1.0,0.0002124690670283795,0.00017813468911563173,0.13288212761261753,16,290
45,0.6601851208562407,0.6456768555344363,128,3,2.0,0.0001154825257603898,0.0006363986123165795,0.1046699299051934,16,134
46,0.5733404740765271,0.5515907306748032,64,4,1.5,0.0003311857517764933,5.3220911228376434e-05,0.12611019466642545,32,134
47,0.5768481331802306,0.5454867515483655,64,2,1.5,0.00028763044094605016,0.000242398956506587,0.2899873881109343,16,247
48,0.6231836368780201,0.6001435981835196,128,4,2.0,0.0002716084930734714,3.9722371455466e-05,0.16470828660004827,16,264
49,0.427627742918106,0.4052611002693878,64,4,2.0,0.0002132642523376544,1.2291355045497432e-05,0.23242804489505411,16,103
50,0.6563547816256075,0.6329289915345551,128,2,2.0,0.000101627769571477,1.2155559391656233e-05,0.2407669045529977,32,213
51,0.6683678286751703,0.6517750756435029,256,3,1.5,0.0001867577009179034,8.843902764532357e-05,0.22220064732578132,16,195
52,0.5668986162883549,0.5476297502849321,64,4,1.0,0.00016555071529478094,2.276931409453172e-05,0.1230735785030539,16,225
53,0.6223833711083957,0.5980457822321312,256,3,2.0,0.005283581947528201,0.00022118475447230763,0.22522291420024446,32,194
54,0.6765191323188178,0.6558975867194299,128,3,2.0,0.00021672335529120292,2.7091848619770845e-05,0.1371136591594902,16,185
55,0.6666968570952369,0.6429634270184469,128,2,2.0,0.0004161450420470092,9.52106111271427e-05,0.13476200404572874,16,162
56,0.4927694232727381,0.4677877075966964,64,2,2.0,0.007242157112986479,9.113501884321053e-05,0.26526942589791,16,252
57,0.6493164631320978,0.6281167292526293,256,4,1.0,0.0015257571820349734,0.0008082586691430141,0.24376067832042642,16,181
58,0.6752364468202828,0.655840270700569,256,3,1.0,0.0005783878218286453,4.336769235244756e-05,0.19412857713405335,16,246
59,0.537550633796694,0.5239327920517853,256,3,2.0,0.0029335104060872774,1.2850751072743139e-05,0.18436948635190847,32,152
60,0.6727964115837624,0.6533492994770627,256,2,2.0,0.0007913428821194026,0.00016084383026580538,0.20595316750113676,16,284
61,0.6659173731164334,0.6491868232957001,256,3,2.0,0.0008478918955864667,2.365745276590073e-05,0.21180649276953264,16,126
62,0.6460618173710293,0.6281334051524324,256,4,1.0,0.0008612782809560946,0.0009678339487296041,0.13385092623469008,32,287
63,0.6386638641022397,0.6200887248708444,128,2,1.5,0.006942528343406828,5.6536599555941266e-05,0.29673894103257253,16,247
64,0.6750676479439752,0.6566093977409658,256,3,1.0,0.00010326335134969439,0.000511373244938811,0.15539835870957328,16,289
65,0.6553748718535906,0.632222658113148,64,3,1.0,0.0026461790151805086,1.4377197872890148e-05,0.1683618995503058,32,281
66,0.633184758140084,0.6128294988099124,64,2,2.0,0.001121940929612741,3.558815907532544e-05,0.14687004489444433,32,193
67,0.6495230173595814,0.633785320328635,64,2,1.0,0.0005973306055737799,1.3901382565281149e-05,0.11006716530655057,16,233
68,0.5108933209397262,0.49052835181085164,128,4,2.0,0.0025544491892042025,0.00016942668606314317,0.12020630571503439,32,286
69,0.5702236951236936,0.5473522197201571,64,4,1.0,0.0007938925565762949,0.0005368886108176058,0.23944404594820795,32,262
70,0.6286502001473182,0.6039396473557626,64,4,2.0,0.0012597882207302823,0.0004925515850704575,0.1251486239548337,16,132
71,0.582870338855884,0.5614347281671426,64,3,2.0,0.0010714649194553715,0.00014290626563791928,0.18562143682618054,16,239
72,0.650380006146152,0.6315033886459442,128,4,1.5,0.0007754965487159087,0.0006749625842874939,0.17561664313172193,16,174
73,0.5796222971112263,0.5576554125009268,256,4,2.0,0.00047124690738176145,6.657217985042427e-05,0.2626826053928538,32,185
74,0.5588190114994658,0.5290373718347701,256,4,1.5,0.00345321784629078,1.128587410515016e-05,0.10333004133708534,32,100
75,0.599498164305303,0.5873189176243316,64,2,1.0,0.005328731473240422,0.00014867260438191672,0.10240687333938635,32,125
76,0.5612281076113039,0.5242239255961871,256,3,1.0,0.009456641638829689,1.4271683845095269e-05,0.25596011785947825,16,296
77,0.602850681827618,0.5887842512719741,128,4,2.0,0.003101939780524665,0.000400785885576479,0.1321871215818549,16,158
78,0.5591413764153486,0.5406210611343567,128,3,1.5,0.004252574341822455,2.9319381329437155e-05,0.11437981353672066,32,172
79,0.4051977968577185,0.38364254120904173,64,3,1.5,0.00010127222312569811,4.2984645682448454e-05,0.274049903852571,32,296
80,0.5964098635086277,0.5765558052970938,64,4,2.0,0.00684375104123591,0.0003893773206490649,0.16365635321023472,32,141
81,0.6339411666879968,0.6088734659615432,64,2,1.0,0.00014431744674000654,5.9108085896979996e-05,0.1453852517283055,32,219
82,0.6746242979129615,0.6584506666957306,256,4,1.0,0.0001598718022900966,0.00029129993117548916,0.25420714375679165,16,134
83,0.5962594831251797,0.5714566897863933,128,4,1.5,0.004986018773793954,0.00019981351803599522,0.10710140310889558,16,292
84,0.6144986776017515,0.5923915414538619,128,4,1.5,0.0029665296244568646,0.000229870848731456,0.17736144810520735,32,247
85,0.5895906293280135,0.573063675277339,64,2,2.0,0.004802176036690242,4.857716348311928e-05,0.2533412952842503,32,278
86,0.5928554753029818,0.5731750723761564,64,4,1.0,0.0011861245038828393,0.0001436932836378805,0.2450175387914261,16,224
87,0.6295708999421552,0.6002248330807876,64,2,1.0,0.0009067588284554209,0.0006340200419320953,0.1682101990708575,32,117
88,0.567498938157005,0.5422137768639922,64,3,2.0,0.0013452276967241905,0.0003096538439242531,0.21227270336836412,32,134
89,0.6175440152863467,0.5955459037630415,64,2,1.0,0.00583723138952259,0.0007355078362101035,0.21583428747174427,32,172
90,0.6653683459943138,0.6333008797380202,128,2,2.0,0.0007066038262188206,0.00025187151838596835,0.13229628497130536,32,200
91,0.6719913711729358,0.6538474726083963,128,2,1.5,0.00035666226518748704,1.611010284904574e-05,0.101443292558629,16,197
92,0.6312279908655806,0.6142942432704221,128,3,1.5,0.0004494194779818977,1.9756184774030317e-05,0.18341071234727122,16,117
93,0.5912391213557215,0.583357682920908,128,4,1.5,0.006435593169340038,2.111563236982245e-05,0.17683079064782545,32,235
